title,component,description,root_cause,inherent_likelihood,inherent_impact,residual_likelihood,residual_impact
"Difficult or litigious issues related to engagement performance receive inadequate responses. For example, consultations are not conducted or agreed conclusions are not efficiently implemented.",Engagement Performance,"Within our company, procedures have been implemented to train and clarify responsibilities for engagement partners and members of the engagement team. Through an effective communication process and regular training sessions, we","Ref: 5.099999999999998. Objectives: 5b, 5d. Responses: MEP-15, MEP-16, MEP-17, MEP-18, MEP-19.",1,1,1,1
"Differences of opinion within the engagement team in relation to those consulted, or between the engagement partner and the engagement quality control reviewer or persons carrying out activities within the company's quality management system are hand",Engagement Performance,"To efficiently manage and resolve differences of opinion, the company has established clear communication channels and procedures for addressing internal disputes. These procedures involve objectively evaluating the arguments and evidence presented by all involved parties and engaging a mediator or ",Ref: 5.109999999999998. Objectives: 5e. Responses: MEP-16.,1,1,1,1
The engagement is not identified for engagement quality review when necessary.,Engagement Performance,"To ensure prompt identification and review of assignments for quality, the company has implemented clear procedures for identifying and prioritising engagements requiring quality review. These procedures are integrated into the engagement planning process and involve periodic assessment of engagemen","Ref: 5.119999999999997. Objectives: 5c. Responses: MEP-17, MEP-18, MEP-19.",1,1,1,1
"The Engagement Quality Control Reviewer is inadequately appointed or insufficient time is allocated for engagement quality review, or there is insufficient involvement during the engagement.",Engagement Performance,"To avoid this situation, the company has clear policies and procedures for appointing Engagement Quality Control Reviewers and allocating the necessary time for each engagement's proper review. Clear expectations are also set regarding the Reviewer's involvement at every stage of the engagement to e","Ref: 5.129999999999997. Objectives: 5b. Responses: MEP-20, MEP-21.",2,1,2,2
The analysis of engagement quality fails to identify relevant issues.,Engagement Performance,"To ensure a thorough and pertinent analysis of engagement quality, the company has implemented analysis processes and techniques that consider all key aspects of the engagement, including identified risks, client requirements, and relevant professional standards. Additionally, experts with appropria","Ref: 5.139999999999997. Objectives: 5b. Responses: MEP-22, MEP-23.",1,1,1,1
The engagement quality review lacks sufficient and adequate evidence of its performance.,Engagement Performance,"To ensure an efficient and dependable review of engagement quality, the company has implemented procedures and tools for collecting, documenting, and evaluating all relevant information and evidence adequately. These procedures aim to ensure transparency and reliability in the quality review process","Ref: 5.149999999999997. Objectives: 5a. Responses: MEP-22, MEP-23.",1,1,1,1
The publication of engagement reports before the completion of the engagement quality review or the resolution of a difference of opinion.,Engagement Performance,"To avoid this situation, the company has implemented clear procedures stipulating that engagement reports can only be published after the completion of the quality review and the resolution of any differences of opinion. These procedures help ensure the consistency and accuracy of published reports ","Ref: 5.159999999999997. Objectives: 5b, 5e. Responses: MEP-24.",1,1,1,1
Engagement documentation is not compiled and archived promptly after the engagement report's date or the service's release date.,Engagement Performance,"To mitigate this risk, the company has implemented documentation management processes and systems that establish clear deadlines for assembling and archiving engagement documentation in line with legal requirements and professional standards. These processes ensure swift and efficient access to docu","Ref: 5.169999999999996. Objectives: 5f. Responses: MEP-25, MEP-26, MEP-27.",1,1,1,1
"The confidentiality, custody, integrity, accessibility, and  non-recoverability of engagement documentation are not safeguarded through documentation maintenance.",Engagement Performance,"To safeguard engagement documentation, the company has implemented adequate measures and controls to ensure its confidentiality, custody, integrity, and accessibility. These measures encompass access restrictions, encryption, change tracking systems, and secure archiving processes designed to preven",Ref: 5.179999999999996. Objectives: 5f. Responses: MEP-28.,1,1,1,1
"Engagement documentation is not retained for a sufficient period to meet the company's needs and comply with the law, regulations, relevant ethical requirements, or other professional standards.",Engagement Performance,"To manage this risk, the company has implemented clear policies and procedures for retaining engagement documentation for a suitable period in accordance with legal requirements, regulations, and professional standards. These policies ensure the availability of documentation for both the company's i",Ref: 5.189999999999996. Objectives: 5f. Responses: MEP-29.,1,1,1,1
"The risk is acceptable; no response is needed, indicating there is NO reasonable possibility that the risk will manifest and negatively impact the achievement of the quality objective(s).",Engagement Performance,,"Ref: Low
1-2. Objectives: . Responses: .",2,2,1,1
"The risk is potentially unacceptable; employ reasoning to determine if there is a need for a response, suggesting there is a reasonable possibility that the risk will arise and negatively affect the attainment of a quality objective.",Engagement Performance,,"Ref: Medium
3-4. Objectives: . Responses: .",2,2,1,1
"The risk is deemed unacceptable; there is a need for a response, indicating there is a reasonable possibility that the risk will materialise and adversely impact the achievement of a quality objective.",Engagement Performance,,"Ref: High
6-9. Objectives: . Responses: .",2,2,1,1
Candidates employed are not adequately qualified to carry out quality engagements or to operate the quality management system.,Resources,"We acknowledge the importance of hiring and promoting individuals with suitable competencies to carry out quality tasks and manage the quality management system. Therefore, we have implemented rigorous recruitment and selection procedures, which involve thorough analysis of candidates' qualification","Ref: 6.01. Objectives: 6a. Responses: MR-01, MR-02, MR-03, MR-05.",1,1,1,1
Specific hiring needs are not identified in a timely manner to ensure the continuity of fulfilling quality engagements or the operation of the quality management system.,Resources,"To avoid delays in identifying and fulfilling our personnel needs, we have implemented clear processes and procedures for human resources planning. These include regularly assessing our team's job requirements and capabilities, as well as closely collaborating between relevant departments to identif",Ref: 6.02. Objectives: 6a. Responses: MR-04.,1,1,1,1
Individuals allocated to quality management tasks/functions lack adequate skills or experience.,Resources,"To ensure that individuals allocated to quality management engagements are adequately prepared, we have implemented tailored training and development programmes aimed at enhancing the skills and knowledge necessary for successfully fulfilling their responsibilities. Additionally, we have procedures ","Ref: 6.029999999999999. Objectives: 6e, 6f. Responses: MR-05, MR-06, MR-07, MR-10.",1,1,1,1
Individuals are not allocated to an assignment/function for a sufficient period of time to fulfill the engagement/responsibilities with adequate quality.,Resources,"To ensure efficient allocation of personnel, we have well-defined procedures for allocating individuals to assignments and roles, which consider both project needs and the availability and skills of the personnel. Additionally, we closely monitor workload and time allocation for each engagement, int","Ref: 6.039999999999999. Objectives: 6e, 6f. Responses: MR-07, MR-25.",1,1,1,1
The company loses intellectual capital due to inefficient succession planning.,Resources,"To manage the risk associated with the loss of intellectual capital due to ineffective succession planning, the company has adopted several initiatives. Firstly, a detailed succession plan has been developed and implemented, which identifies internal talent and prepares employees for key roles withi",Ref: 6.049999999999999. Objectives: 6a. Responses: MR-16.,2,2,2,2
Individuals do not have sufficient hours to efficiently fulfill their responsibilities.,Resources,"To manage the risk related to the lack of time to fulfill responsibilities, the company has implemented several strategies. Firstly, regular assessments of employees' tasks and workloads are conducted to identify potential issues related to excessive workload. These assessments are utilised to adjus","Ref: 6.059999999999999. Objectives: 6a, 6f. Responses: MR-11.",2,2,2,2
The company and engagement teams do not effectively monitor and address changes in resource requirements for an engagement.,Resources,"We have implemented procedures and mechanisms to continuously monitor changes in resource needs for each engagement. These include regular progress reviews, analysis of additional resource requirements, and regular communication between engagement teams and the HR Department. By identifying changes ","Ref: 6.0699999999999985. Objectives: 6d, 6e. Responses: MR-08, MR-09.",1,1,1,1
Annual performance assessments are not conducted for all professional personnel.,Resources,"To ensure transparency and accountability in performance assessment, we have implemented a formal performance assessment process for all professional personnel. This process involves setting individual objectives, monitoring progress throughout the year, and conducting a comprehensive annual evaluat",Ref: 6.079999999999998. Objectives: 6b. Responses: MR-12.,1,1,1,1
"Annual performance is not adequately documented, discussed, or evaluated, including individual objectives and training requirements.",Resources,"To ensure a comprehensive and appropriate performance assessment, we have developed and implemented a system for documenting and discussing annual performance. This system includes clearly documenting individual objectives, monitoring progress throughout the year, and organising formal discussions b",Ref: 6.089999999999998. Objectives: 6b. Responses: MR-12.,1,1,1,1
Performance assessments and individual feedback are not consistently sufficient to prevent the recurrence of similar issues in future engagements.,Resources,"To prevent similar issues from arising in the future, the company has implemented several strategies and practices. Firstly, clear procedures and standards have been established for providing individual feedback and conducting periodic assessments. This ensures that each employee receives a consiste",Ref: 6.099999999999998. Objectives: 6b. Responses: MR-13.,2,2,2,2
"The remuneration and promotion of personnel and partners are not tied to performance evaluation, failing to adequately reflect a balance between quality and other elements of the business strategy.",Resources,"To ensure that pay and promotion appropriately reflect the performance and contribution of employees and partners to our quality objectives, we have implemented a performance assessment system that is closely linked to the pay and promotion processes. This system includes clear and objective criteri","Ref: 6.109999999999998. Objectives: 6b. Responses: MR-12, MR-14, MR-15.",1,1,1,1
Partners are assessed and rewarded for selling non-insurance services.,Resources,"To ensure alignment of partner objectives with our quality objectives, we have reviewed and updated our partner remuneration and reward policy. Partner assessments and rewards are now directly linked to the delivery of quality services in line with our standards and objectives, and are not influence",Ref: 6.119999999999997. Objectives: 6b. Responses: MR -15.,1,1,1,1
"The training and development programme does not support personnel in developing and maintaining adequate competencies, as the content is not sufficiently targeted.",Resources,"To ensure that our training and development programme is efficient and relevant, we have implemented a rigorous process for identifying training needs and developing training content. This process involves consulting with managers and employees to identify the key competencies needed to meet our qua","Ref: 6.129999999999997. Objectives: 6a, 6c. Responses: MR-17, MR-18, MR-19, MR-25.",1,1,1,1
Target personnel do not participate in appropriate training courses.,Resources,"To encourage active participation of personnel in training courses, the company has implemented several strategies and practices. Firstly, it has focused on clearly communicating the benefits and importance of training in professional development and in achieving individual and organisational goals.","Ref: 6.139999999999997. Objectives: 6a, 6c. Responses: MR-20.",2,2,2,2
Personnel subject to licensing and continuing professional development requirements fail to meet these requirements.,Resources,"To ensure that our personnel are in compliance with licensure and continuing professional development requirements, we have established a system for monitoring and reporting the licensure and continuing professional development status of each covered employee. This system allows us to quickly identi","Ref: 6.149999999999997. Objectives: 6a, 6c. Responses: MR-21, MR-22, MR-23, MR-24.",1,1,1,1
"Audit software is not updated in a timely manner for changing environments (new standards, company policies, etc.).",Resources,"To ensure that our audit software is up to date and functions properly in changing environments, we have implemented a process to regularly monitor and update it. This process includes identifying and continually evaluating relevant changes in company standards, policies, and practices, and updating",Ref: 6.159999999999997. Objectives: 6g. Responses: MR-26.,1,1,1,1
"Audit methodology (work programmes, manuals, templates) is not updated in a timely manner for changing environments (new standards, company policies, etc.).",Resources,"To ensure that our audit methodology remains relevant and up to date, we have implemented a process to regularly review and update it. This process involves continually identifying and assessing changes in the company's standards, policies, and practices, and updating the audit methodology in line w",Ref: 6.169999999999996. Objectives: 6h. Responses: MR-29.,1,1,1,1
"Policies and procedures, guidance, practice aids, templates, and forms are not updated in a timely manner for changing environments (new standards, company policies, etc.).",Resources,"To address the continuous changes in the business environment and in legal and regulatory requirements, the company has implemented a rigorous process of reviewing and updating policies, procedures, and other relevant documents. This process is designed to ensure that all policies and procedures rem","Ref: 6.179999999999996. Objectives: 6d, 6h, 6i. Responses: MR-29, MR-33.",2,2,2,2
"Updates to policies and procedures, methodology, guidelines, practice aids, templates, and forms are not effectively or promptly communicated to users.",Resources,"To ensure that all users are informed about updates to policies, procedures, and other relevant resources, the company has implemented an efficient and timely communication system. This system includes clear and accessible channels of communication, as well as standardised procedures for distributin","Ref: 6.189999999999996. Objectives: 6g, 6h. Responses: MR-29.",2,2,2,2
"New or revised standards or regulatory changes are not identified, communicated, and applied to audit practices.",Resources,"To ensure that we are always up to date with relevant new standards and regulations and that they are properly applied in our audit practice, we have implemented a process to monitor and communicate them. This process includes the identification and continuous assessment of any changes in standards ","Ref: 6.199999999999996. Objectives: 6c, 6h. Responses: MR-25.",1,1,1,1
Users are not adequately trained on the use of new/existing audit tools and other technological and intellectual resources.,Resources,"To ensure that all our users are prepared and capable of efficiently utilising our audit tools and other technological and intellectual resources, we have implemented a continuous training and education program. This program comprises regular training sessions, updated and accessible training materi","Ref: 6.2099999999999955. Objectives: 6c, 6d, 6g, 6h, 6i. Responses: MR-05, MR-13, MR-31, MR-32, MR-34.",1,1,1,1
Necessary or adequate technological and intellectual resources are not utilised.,Resources,"To ensure that we leverage all the technological and intellectual resources necessary to efficiently support our audit operations and achieve our quality objectives, we have implemented a process to assess and optimise their utilisation. This process involves identifying and continuously evaluating ","Ref: 6.219999999999995. Objectives: 6g, 6h. Responses: MR-27, MR-28, MR-30, MR-34.",1,1,1,1
"The company improperly relies on IT applications that handle incorrect data, process inaccurate data, or both.",Resources,"To mitigate the risk of relying on IT applications that might handle or process incorrect data, we have implemented a rigorous process for evaluating and selecting IT applications used in our audit and business operations. This process includes a detailed assessment of the technical features, perfor",Ref: 6.229999999999995. Objectives: 6g. Responses: MR-35.,1,1,1,1
The company employs an IT application that has not undergone the company's process of evaluating IT applications for business use.,Resources,"To ensure that all IT applications used within the business comply with our internal quality and security standards, the company has instituted a rigorous process for evaluating IT applications. This process includes a detailed analysis of each application's technical characteristics, performance, a",Ref: 6.239999999999995. Objectives: 6g. Responses: MR-35.,2,2,2,2
"Unauthorised access to data may lead to breaches of confidentiality of the information contained in the data, data destruction, or inappropriate data alterations.",Resources,"To safeguard our data against unauthorised access and potential breaches of confidentiality, we have implemented robust security measures and stringent data access policies. These measures involve restricting data access solely to authorised personnel, employing encryption and authentication technol","Ref: 6.249999999999995. Objectives: 6g. Responses: MR-36, MR-37, MR-38, MR-39, MR-40.",1,1,1,1
Unauthorised changes are made in the IT environment.,Resources,"To prevent unauthorised changes to the IT environment and to maintain the integrity and security of our systems, we have implemented strict change management policies and procedures. These policies and procedures include establishing a formal process for approving changes, documenting and tracking a",Ref: 6.2599999999999945. Objectives: 6g. Responses: MR-40.,1,1,1,1
The company does not acquire personnel from external sources when it lacks sufficient or suitable personnel to enable the operation of the company's quality management system or the fulfillment of its engagements.,Resources,"To ensure that we always have adequate personnel to support our operations and maintain an efficient quality management system, the company collaborates with external sources to acquire additional personnel as needed. This strategy enables us to effectively manage temporary fluctuations in workload ",Ref: 6.269999999999994. Objectives: 6d. Responses: MR-41.,2,2,2,2
"Human, technological, or intellectual resources from service providers are unsuitable for use in the company's quality management system and in the execution of engagements, considering the aforementioned quality objectives.",Resources,"To ensure that the human, technological, and intellectual resources provided by third parties are adequate and align with our quality objectives, we have rigorous processes and criteria for evaluating service providers. Before engaging a service provider, we conduct a thorough assessment of their co","Ref: 6.279999999999994. Objectives: 6i. Responses: MR-10, MR-42.",2,1,1,1
"The risk is acceptable; no response is needed, indicating there is NO reasonable possibility that the risk will manifest and negatively impact the achievement of the quality objective(s).",Resources,,"Ref: Low
1-2. Objectives: . Responses: .",2,2,1,1
"The risk is potentially unacceptable; employ reasoning to determine if there is a need for a response, suggesting there is a reasonable possibility that the risk will arise and negatively affect the attainment of a quality objective.",Resources,,"Ref: Medium
3-4. Objectives: . Responses: .",2,2,1,1
"The risk is deemed unacceptable; there is a need for a response, indicating there is a reasonable possibility that the risk will materialise and adversely impact the achievement of a quality objective.",Resources,,"Ref: High
6-9. Objectives: . Responses: .",2,2,1,1
"The company's manual and/or computer systems that support information and communication do not allow for the identification, capture, processing, and maintenance of accurate, complete, timely, valid, and relevant information based on source informati",Information & Communication,"We are continually investing in the modernisation and optimisation of our information systems to ensure they facilitate the identification, capture, processing, and maintenance of accurate, complete, and relevant information. We implement advanced technologies and quality management modules to enhan",Ref: 7.01. Objectives: 7a. Responses: MIC-01.,1,1,1,1
"The company has not sufficiently adapted its quality management system to enable accurate, complete, timely, valid, and relevant information to be identified, captured, processed, or maintained based on source information to support the quality manag",Information & Communication,"To address this risk, the company has taken concrete steps to enhance its quality management system. These measures entail reviewing and updating existing processes to ensure alignment with best practices and professional standards requirements. Additionally, new tools and technologies have been imp",Ref: 7.02. Objectives: 7a. Responses: MIC-01.,2,2,2,2
"The company's information systems, as well as its own and customers' data, are not sufficiently protected against potential security breaches.",Information & Communication,"We take data security very seriously and invest in technologies and procedures to protect our and our customers' data against any security breaches. We implement advanced security measures, such as data encryption, firewalls, and two-factor authentication, and conduct staff training programs to rais",Ref: 7.03. Objectives: 7a. Responses: MIC-14.,1,1,1,1
The partners and the personnel do not have access to the company's resources or other relevant information to the extent that it pertains to their responsibilities.,Information & Communication,We ensure partners and personnel have appropriate access to information relevant to their responsibilities through our information systems and well-defined information sharing procedures. We develop collaborative portals and platforms to facilitate information exchange and ensure everyone involved h,Ref: 7.04. Objectives: 7c. Responses: MIC-02.,1,1,1,1
"The information identified by the company and changes made to existing information relevant to specific engagements is either not communicated or not communicated in a timely manner and received by the respective engagement teams (e.g., information i",Information & Communication,We implement clear procedures and communication channels to ensure that identified information and any changes to it are communicated promptly and appropriately to the relevant engagement teams. We utilise collaboration tools and communication platforms to facilitate the efficient flow of informatio,"Ref: 7.05. Objectives: 7c. Responses: MIC-03, MIC-07.",1,1,1,1
"The information relevant to the quality management system, including its changes, is either not communicated or not communicated in a timely manner to partners and personnel, particularly when these changes are relevant to their responsibilities and ",Information & Communication,"To mitigate this risk, the company has implemented an efficient and transparent communication system to ensure that pertinent information regarding the quality management system is appropriately disseminated to partners and personnel in a timely manner. This system incorporates clear protocols for t",Ref: 7.06. Objectives: 7c. Responses: MIC-04.,2,2,2,2
The company fails to foster a culture where personnel feel accountable to sharing information with the company and among themselves.,Information & Communication,"We strive to cultivate an organisational culture that promotes information sharing and collaboration among employees. We implement programmes and initiatives to encourage and value open and transparent communication, and to remove any barriers that may impede the sharing of information within the co","Ref: 7.07. Objectives: 7b. Responses: MIC-07, MIC-08.",1,1,1,1
The information identified by engagement teams at various stages of the engagement is either not communicated or not communicated in a timely manner to those responsible for the quality management system or to other teams or individuals within the co,Information & Communication,We establish clear procedures and defined responsibilities to ensure that information identified by engagement teams is communicated promptly and appropriately to those responsible for managing the quality management system and to other affected teams or individuals. We implement reporting systems a,"Ref: 7.08. Objectives: 7d. Responses: MIC-05, MIC-06.",1,1,1,1
Outdated or erroneous information identified by the engagement team in the company's resources is not communicated to the company in a timely manner.,Information & Communication,We develop and implement processes and mechanisms to swiftly identify and rectify outdated or erroneous information identified by engagement teams. We foster a culture of accountability and reporting within the company to ensure that such information is communicated promptly and that appropriate mea,Ref: 7.09. Objectives: 7b. Responses: MIC-05.,1,1,1,1
"The company lacks mechanisms for receiving, investigating, and resolving complaints and allegations, or the existing mechanisms are not made available to all stakeholders of the company.
(Linked to risks 3.20 / 3.21 of the relevant Ethical Requiremen",Information & Communication,"We implement and maintain clear and accessible mechanisms for receiving, investigating, and resolving complaints and allegations. We ensure access to these mechanisms for all stakeholders and promote a culture of transparency and accountability to address and resolve issues effectively and fairly. C",Ref: 7.1. Objectives: 7b. Responses: MIC-09.,1,1,1,1
"The personnel are unaware of the mechanisms for lodging complaints and accusations.
(Link to risks 3.15 / 3.16 of the relevant Ethical Requirements)",Information & Communication,"We make continuous efforts to ensure that all personnel are aware of the existence and functioning of the complaints and allegations mechanisms. We organise training and information sessions to explain the procedures and clarify each employee's role in the process. Additionally, we provide informati",Ref: 7.11. Objectives: 7b. Responses: MIC-09.,1,1,1,1
"The personnel do not feel comfortable utilising complaints and allegation mechanisms, either because they do not understand the process or because of fear of reprisals.
(Link to risks 3.15 / 3.16 of the relevant Ethical Requirements)",Information & Communication,We encourage an open and trusting environment in which employees feel comfortable utilising grievance and allegation mechanisms without fear of retaliation or repercussions. We promote a culture of respect and confidentiality and ensure that all complaints are treated seriously and confidentially. C,Ref: 7.12. Objectives: 7b. Responses: MIC-09.,1,1,1,1
"An entity's non-compliance with laws and regulations is not reported, not adequately reported, or not reported in a timely manner to an appropriate authority outside the entity, if required by the laws and regulations in the current jurisdiction.",Information & Communication,We implement clear procedures and guidelines for reporting and managing non-compliance with laws and regulations. We ensure that all personnel are aware of their obligation to report any irregularities or misconduct and that there are appropriate channels for reporting such issues. We foster a cultu,"Ref: 7.13. Objectives: 7c, 7f. Responses: MIC-01, MIC-06.",1,1,1,1
The company and its personnel do not fully comprehend what and to whom they should report regarding relevant laws and regulations.,Information & Communication,We organise training and information sessions to ensure that personnel fully understand the legal requirements and regulations applicable to our field of activity. We utilise informational resources and reference materials to clarify requirements and provide guidance in accordance with legal and eth,Ref: 7.14. Objectives: 7f. Responses: MIC-02.,1,1,1,1
"Where appropriate, the company fails to communicate to external parties about the company's quality management system, either in a transparency report or through other means.",Information & Communication,We develop and implement procedures and protocols that foster clear and transparent communication of relevant information about our quality management system to external stakeholders in a manner that fosters transparency and trust. We ensure that our reports and communications comply with applicable,"Ref: 7.15. Objectives: 7f. Responses: MIC-01, MIC-13.",1,1,1,1
The company lacks adequate bidirectional communication with service providers regarding mutual responsibilities or the services and resources they provide.,Information & Communication,"To manage this risk, the company has implemented a structured bidirectional communication system with its service providers. This system involves clearly establishing mutual responsibilities and expectations, as well as facilitating an open exchange of information related to the services and resourc",Ref: 7.16. Objectives: 7e. Responses: MIC-15.,2,2,2,2
The engagement team fails to communicate with those responsible for governance when conducting an audit of listed entities' financial statements regarding how the quality management system supports the consistent execution of quality audit engagement,Information & Communication,"To manage this risk, the company has implemented clear and well-defined procedures for communication between the engagement team and those charged with governance during the audit of listed entities' financial statements. These procedures include establishing a regular communication schedule to enab",Ref: 7.17. Objectives: 7f. Responses: MIC-16.,2,2,2,2
"The company and its personnel fail to comprehend or adhere to the laws and regulations applicable to providing assurance and attestation standards, especially concerning cybersecurity and confidentiality standards.",Information & Communication,We pay particular attention to understanding and complying with the relevant laws and regulations governing our activities in providing assurance and attestation standards. We develop and implement training and awareness programmes to ensure that personnel are familiar with legal and ethical require,Ref: 7.18. Objectives: 7e. Responses: MIC-14.,1,1,1,1
"The risk is acceptable; no response is needed, indicating there is NO reasonable possibility that the risk will manifest and negatively impact the achievement of the quality objective(s).",Information & Communication,,"Ref: Scazut
1-2. Objectives: . Responses: .",2,2,1,1
"The risk is potentially unacceptable; employ reasoning to determine if there is a need for a response, suggesting there is a reasonable possibility that the risk will arise and negatively affect the attainment of a quality objective.",Information & Communication,,"Ref: Medium
3-4. Objectives: . Responses: .",2,2,1,1
"The risk is deemed unacceptable; there is a need for a response, indicating there is a reasonable possibility that the risk will materialise and adversely impact the achievement of a quality objective.",Information & Communication,,"Ref: Ridicat
6-9. Objectives: . Responses: .",2,2,1,1
The process may not be appropriately designed to be relevant to the company.,Monitoring & Remediation,"Our company has implemented a rigorous process for designing the quality management system, considering the specificities and organisational needs. We engaged a multidisciplinary team of experts to ensure the relevance and effectiveness of the process in alignment with our objectives. Consequently, ","Ref: 8.01. Objectives: 8a, 8c. Responses: MMR-01, MMR-12.",1,1,1,1
The monitoring and remediation process may not be conducted in a timely manner.,Monitoring & Remediation,"To mitigate this risk, the company has implemented proactive measures to ensure the efficient and timely execution of the monitoring and remediation process. Clear procedures and deadlines have been established for ongoing monitoring of activities and promptly identifying any issues or deficiencies.","Ref: 8.02. Objectives: 8a. Responses: MMR-10, MMR-19.",2,2,2,2
The selection of engagements for review may be inadequate.,Monitoring & Remediation,"We have detailed and well-defined criteria for the selection of review engagements, based on risks, strategic importance, and other relevant factors. Our selection process is regularly reviewed and updated to ensure its relevance and effectiveness. Consequently, we consider the risk to be acceptable","Ref: 8.03. Objectives: 8c, 8d. Responses: MMR-06, MMR-07, MMR-08, MMR-09, MMR-10, MMR-11.",1,1,1,1
"The process may be performed by individuals who lack the necessary competence and capabilities, including the time required to fulfil these responsibilities.",Monitoring & Remediation,We invest in the continuous development of our personnel and ensure that they are properly trained and instructed to fulfill their responsibilities in the monitoring and remediation process. We allocate adequate resources for training and professional development to ensure that personnel have the ne,"Ref: 8.04. Objectives: 8e. Responses: MMR-02, MMR-04.",1,1,1,1
The individual(s) conducting the monitoring may not be objective.,Monitoring & Remediation,"We implement measures and procedures to ensure the objectivity of the monitoring process, including appointing an independent assessment team and establishing clear assessment criteria. We regularly monitor and review these processes to identify and eliminate any potential conflicts of interest or o","Ref: 8.049999999999999. Objectives: 8e. Responses: MMR-03, MMR-05.",1,1,1,1
"It is possible that the monitoring process may not detect a deficiency, including those identified by external inspections.",Monitoring & Remediation,We have implemented a robust monitoring system that utilises advanced techniques and tools to identify and assess potential deficiencies in our quality management system. We conduct regular risk analyses and continuously review our processes to ensure we are proactive in identifying and addressing d,"Ref: 8.059999999999999. Objectives: 8a, 8b. Responses: MMR-02, MMR-04,.",1,1,1,1
It is possible that deficiencies may not be detected in other engagements of a similar nature.,Monitoring & Remediation,"To mitigate this risk, the company has implemented rigorous processes and procedures to ensure a consistent and comprehensive approach across all similar engagements. These processes include careful evaluation of lessons learned from previous engagements and their appropriate application in future e",Ref: 8.069999999999999. Objectives: 8b. Responses: MMR-18.,2,2,2,2
"An assessment of the identified findings is not conducted or is incorrectly applied, thus resulting in the non-identification of a deficiency.",Monitoring & Remediation,"To mitigate this risk, the company has implemented stringent procedures for assessing and reviewing findings, ensuring the accurate identification and remediation of reported deficiencies. These processes are continually enhanced to ensure precise assessment and efficient reporting to stakeholders. ",Ref: 8.079999999999998. Objectives: 8f. Responses: MMR-13.,1,1,1,1
The severity and spread of deficiencies are not assessed.,Monitoring & Remediation,"To mitigate this risk, the company has implemented rigorous procedures to evaluate the severity and spread of identified deficiencies, enabling a deeper understanding of their impact and taking appropriate measures for their remediation. These processes are integrated into quality management practic",Ref: 8.089999999999998. Objectives: 8g. Responses: MMR-13.,1,1,1,1
Root cause analysis is not carried out by an appropriate individual(s) exercising professional judgement.,Monitoring & Remediation,"To mitigate this risk, the company has acknowledged the importance of conducting thorough root cause analysis to identify issues and continually enhance its processes. Consequently, it has implemented a robust framework that defines responsibilities and procedures for performing this analysis. By ap","Ref: 8.099999999999998. Objectives: 8g. Responses: MMR-13, MMR-14.",2,2,2,2
"The nature and circumstances of the company, such as complexity and operating characteristics, size of the company, geographical dispersion, how the company is structured, and the extent to which the company centralises its processes and activities, ",Monitoring & Remediation,"To mitigate this risk, the company has implemented several proactive measures. Firstly, it has developed and implemented specialised procedures and tools tailored to its specific nature and circumstances. These facilitate the collection, centralisation, and analysis of relevant data to identify the ","Ref: 8.109999999999998. Objectives: 8g. Responses: MMR-13, MMR-14.",1,1,1,1
The company fails to take adequate measures to remedy the deficiency.,Monitoring & Remediation,"The company has implemented a robust deficiency management process that commences with clear identification and documentation. Upon identification, each deficiency is assigned to a responsible team for remediation, and an action plan is developed to rectify the issue efficiently and effectively. The",Ref: 8.119999999999997. Objectives: 8h. Responses: MMR-15.,1,1,1,1
The urgency of addressing a problem due to its severity and spread is not taken into consideration.,Monitoring & Remediation,"To manage this situation, the company has implemented a prioritisation process for addressing identified deficiencies. Therefore, each issue is evaluated not only based on its severity but also on the urgency with which it needs to be addressed. This approach enables the identification and prompt at","Ref: 8.129999999999997. Objectives: 8h. Responses: MMR-15, MMR-16.",1,1,1,1
The company does not monitor its action plans.,Monitoring & Remediation,"To address this deficiency, the company has implemented a system to monitor and track its action plans. This system includes setting clear deadlines for plan implementation, assigning specific responsibilities to team members, and establishing mechanisms for regular reporting and progress evaluation","Ref: 8.139999999999997. Objectives: 8h, 8j. Responses: MMR-19.",1,1,1,1
The remedial action identified to address the root cause(s) may not be effective when interim measures are required until the company is able to implement more effective remedial actions.,Monitoring & Remediation,"The company has implemented a robust process for evaluating the effectiveness of remedial actions. This process involves identifying and assessing potential interim measures needed to manage immediate issues and minimise the negative impact of identified deficiencies. Additionally, the company conti","Ref: 8.149999999999997. Objectives: 8i. Responses: MMR-16, MMR-17.",1,1,1,1
The root cause of an identified deficiency relates to a resource provided by a service provider.,Monitoring & Remediation,"To address this root cause regarding the deficiency related to the resource provided by a service provider, the company adopts a proactive and systematic approach. Firstly, clear criteria for selecting providers are established, including strict quality and performance standards. These criteria are ","Ref: 8.159999999999997. Objectives: 8g. Responses: MMR-20, MMR-21.",2,2,2,2
"Assessment by the individual(s) assigned operational responsibility for monitoring and remediation may indicate that remedial actions are not properly designed, implemented, or effective.",Monitoring & Remediation,"To mitigate this risk, the company has implemented a rigorous internal review and evaluation system. This system involves appointing a team responsible for monitoring and remediating identified weaknesses in operational processes. This team is tasked with continuously assessing the effectiveness of ","Ref: 8.169999999999996. Objectives: 8e, 8i, 8j. Responses: MMR-17.",1,1,1,1
